epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4894.69,1.15378,2.0306,1.35975,0.41419,0.38465,0.34549,0.23399,1.22384,1.79066,1.35147,0.00030287,0.00030287,0.00030287
2,8972.98,1.13392,1.72477,1.31517,0.44329,0.38229,0.38407,0.26826,1.16868,1.60271,1.30628,0.000585876,0.000585876,0.000585876
3,12195.6,1.12963,1.69087,1.30762,0.46052,0.36934,0.39078,0.27997,1.1455,1.59156,1.2995,0.000848885,0.000848885,0.000848885
4,15339.2,1.12094,1.65614,1.30779,0.46578,0.44322,0.43693,0.30432,1.1111,1.50085,1.26314,0.000819009,0.000819009,0.000819009
5,18487.5,1.09481,1.59389,1.29303,0.48607,0.4531,0.46319,0.33172,1.08939,1.41203,1.24076,0.000789012,0.000789012,0.000789012
6,21646.7,1.07472,1.53312,1.282,0.53135,0.46561,0.49128,0.3505,1.07378,1.36341,1.23865,0.000759015,0.000759015,0.000759015
7,24781.5,1.06176,1.48076,1.26817,0.7222,0.41911,0.49937,0.36091,1.05747,1.33621,1.22297,0.000729018,0.000729018,0.000729018
8,27922.4,1.04269,1.44411,1.26205,0.52947,0.48099,0.51708,0.37395,1.04799,1.27901,1.21563,0.000699021,0.000699021,0.000699021
9,31054.3,1.03056,1.41229,1.25522,0.73628,0.44388,0.51919,0.37383,1.05769,1.28433,1.21948,0.000669024,0.000669024,0.000669024
10,34196,1.01495,1.3737,1.24119,0.58479,0.50105,0.54705,0.39989,0.99697,1.21269,1.17972,0.000639027,0.000639027,0.000639027
11,37315.1,1.00353,1.338,1.23555,0.64034,0.46962,0.55403,0.39815,1.01091,1.19336,1.18297,0.00060903,0.00060903,0.00060903
12,40442.2,0.99282,1.313,1.22829,0.7845,0.46884,0.56274,0.41375,0.97657,1.16563,1.17469,0.000579033,0.000579033,0.000579033
13,43552.1,0.98397,1.29102,1.22425,0.57996,0.54021,0.57293,0.41686,0.97742,1.13871,1.16966,0.000549036,0.000549036,0.000549036
14,46680.8,0.97243,1.26011,1.21857,0.60946,0.51465,0.57675,0.41937,0.97674,1.13294,1.16555,0.000519039,0.000519039,0.000519039
15,49782.9,0.9679,1.24311,1.21486,0.77878,0.49106,0.5889,0.4287,0.97115,1.1015,1.16533,0.000489042,0.000489042,0.000489042
16,52918.2,0.95565,1.21848,1.21007,0.60196,0.54096,0.59632,0.43481,0.95831,1.08374,1.15656,0.000459045,0.000459045,0.000459045
17,56045.8,0.94148,1.18801,1.20196,0.78135,0.50131,0.59374,0.44023,0.93769,1.06668,1.14778,0.000429048,0.000429048,0.000429048
18,59203.3,0.93113,1.1612,1.19516,0.78391,0.50876,0.60219,0.44548,0.94769,1.06504,1.14879,0.000399051,0.000399051,0.000399051
19,62350.9,0.92764,1.1464,1.19131,0.80054,0.50724,0.60952,0.45282,0.93001,1.0376,1.13615,0.000369054,0.000369054,0.000369054
20,65498.7,0.92331,1.12143,1.18503,0.82994,0.49378,0.61339,0.45536,0.91637,1.03597,1.13251,0.000339057,0.000339057,0.000339057
21,68606.7,0.86831,1.01224,1.16701,0.81205,0.50052,0.60792,0.45309,0.92297,1.03347,1.14261,0.00030906,0.00030906,0.00030906
22,71722.3,0.84356,0.97291,1.15039,0.81257,0.5033,0.61244,0.45634,0.92012,1.02826,1.14739,0.000279063,0.000279063,0.000279063
23,74844.8,0.83569,0.95226,1.14772,0.81803,0.50564,0.6111,0.458,0.90315,1.02078,1.13469,0.000249066,0.000249066,0.000249066
24,77951.4,0.82229,0.92474,1.13763,0.82072,0.51118,0.61842,0.46325,0.89471,1.00078,1.13038,0.000219069,0.000219069,0.000219069
25,81028.8,0.81003,0.89539,1.12864,0.82373,0.50762,0.61748,0.46314,0.89705,0.98723,1.12885,0.000189072,0.000189072,0.000189072
26,84124.3,0.80052,0.86818,1.12068,0.83081,0.50796,0.61688,0.46532,0.89091,0.98379,1.12791,0.000159075,0.000159075,0.000159075
27,87200.3,0.78745,0.8531,1.11456,0.82433,0.52335,0.62537,0.47152,0.88251,0.96431,1.12393,0.000129078,0.000129078,0.000129078
28,90296.3,0.78122,0.83709,1.1099,0.83018,0.52083,0.62895,0.47287,0.8772,0.96834,1.12016,9.9081e-05,9.9081e-05,9.9081e-05
29,93567.3,0.77031,0.81414,1.10184,0.82915,0.52189,0.62775,0.47444,0.87356,0.96357,1.12145,6.9084e-05,6.9084e-05,6.9084e-05
30,96726.2,0.76279,0.80134,1.09762,0.8354,0.52196,0.62852,0.47624,0.87037,0.95777,1.1177,3.9087e-05,3.9087e-05,3.9087e-05
