epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1867.53,1.19999,1.85186,1.24873,0.40498,0.32589,0.305,0.19806,1.2066,1.43063,1.12239,0.000302711,0.000302711,0.000302711
2,3521.73,1.20821,1.49699,1.22651,0.40053,0.32427,0.33586,0.21703,1.20111,1.30765,1.14427,0.000585722,0.000585722,0.000585722
3,5221.25,1.22242,1.49043,1.23496,0.42337,0.31506,0.3155,0.20788,1.22019,1.40984,1.15894,0.000848736,0.000848736,0.000848736
4,6999.93,1.22086,1.46085,1.23077,0.40061,0.33917,0.33962,0.22148,1.21503,1.33675,1.13911,0.000819009,0.000819009,0.000819009
5,8695.83,1.2255,1.41907,1.23233,0.40854,0.33613,0.32754,0.21255,1.20922,1.36816,1.14951,0.000789012,0.000789012,0.000789012
6,10383,1.19891,1.37024,1.21568,0.43625,0.34787,0.36416,0.24083,1.16529,1.24292,1.10937,0.000759015,0.000759015,0.000759015
7,12078.2,1.18246,1.31192,1.21151,0.46563,0.34976,0.37261,0.24736,1.17701,1.22825,1.12519,0.000729018,0.000729018,0.000729018
8,13775.4,1.18817,1.31588,1.21242,0.4453,0.36973,0.36477,0.24314,1.15397,1.23448,1.09908,0.000699021,0.000699021,0.000699021
9,15467.9,1.18067,1.27284,1.20376,0.42996,0.354,0.35694,0.23583,1.17666,1.26293,1.10623,0.000669024,0.000669024,0.000669024
10,17169.2,1.16055,1.21217,1.19184,0.45954,0.36692,0.37672,0.25396,1.11073,1.15964,1.0866,0.000639027,0.000639027,0.000639027
11,18863.2,1.14427,1.19948,1.18812,0.46,0.38279,0.39145,0.25803,1.13668,1.14754,1.09798,0.00060903,0.00060903,0.00060903
12,20562.7,1.13954,1.18365,1.18505,0.49465,0.36641,0.39272,0.25895,1.17843,1.15866,1.10987,0.000579033,0.000579033,0.000579033
13,22265.7,1.11831,1.14716,1.17455,0.47501,0.39104,0.40999,0.27601,1.12537,1.09953,1.07478,0.000549036,0.000549036,0.000549036
14,23966.4,1.10812,1.132,1.17681,0.47784,0.38469,0.39207,0.26697,1.10479,1.14486,1.08079,0.000519039,0.000519039,0.000519039
15,25668.9,1.10514,1.09689,1.16443,0.46485,0.39407,0.40125,0.2757,1.08813,1.08892,1.06551,0.000489042,0.000489042,0.000489042
16,27376.1,1.10588,1.09391,1.16477,0.48458,0.38901,0.41562,0.28574,1.09564,1.07454,1.06405,0.000459045,0.000459045,0.000459045
17,29199.3,1.10343,1.06592,1.16591,0.50099,0.38908,0.42435,0.29435,1.07821,1.04616,1.06112,0.000429048,0.000429048,0.000429048
18,30851.4,1.07466,1.03987,1.15217,0.48318,0.40315,0.41978,0.28638,1.08949,1.04385,1.0596,0.000399051,0.000399051,0.000399051
19,32506.5,1.08079,1.01706,1.14998,0.5202,0.39773,0.42979,0.29417,1.0843,1.02181,1.05583,0.000369054,0.000369054,0.000369054
20,34165.6,1.07301,0.99747,1.14418,0.4907,0.39635,0.42352,0.29348,1.07528,1.01577,1.05345,0.000339057,0.000339057,0.000339057
21,35824.2,1.03602,0.94222,1.12901,0.50019,0.3903,0.42329,0.28777,1.09458,1.04282,1.05621,0.00030906,0.00030906,0.00030906
22,37486.1,1.02148,0.91526,1.12465,0.52703,0.38112,0.42147,0.28836,1.08897,1.03101,1.05766,0.000279063,0.000279063,0.000279063
23,39133,1.00873,0.891,1.11363,0.53626,0.39642,0.43547,0.29652,1.10018,1.01764,1.05193,0.000249066,0.000249066,0.000249066
24,40786.9,1.00318,0.86389,1.10762,0.50919,0.40434,0.43892,0.30163,1.07844,1.00316,1.0536,0.000219069,0.000219069,0.000219069
25,42487.8,0.99306,0.85116,1.10208,0.46123,0.41673,0.43208,0.29695,1.07897,1.00644,1.05175,0.000189072,0.000189072,0.000189072
26,44169.6,0.99741,0.83672,1.10496,0.52739,0.39712,0.43728,0.30205,1.06852,0.99478,1.05301,0.000159075,0.000159075,0.000159075
27,45859.9,0.98402,0.8036,1.09653,0.53688,0.39944,0.44421,0.30538,1.06836,0.98868,1.04695,0.000129078,0.000129078,0.000129078
28,47527.3,0.97607,0.79258,1.09405,0.54561,0.41076,0.45075,0.30931,1.06798,0.98102,1.04612,9.9081e-05,9.9081e-05,9.9081e-05
29,49195.8,0.95244,0.76827,1.08013,0.51055,0.41592,0.44991,0.31045,1.06097,0.97702,1.04417,6.9084e-05,6.9084e-05,6.9084e-05
30,50873.2,0.95244,0.75823,1.08348,0.53357,0.40597,0.45058,0.30967,1.07318,0.9684,1.04578,3.9087e-05,3.9087e-05,3.9087e-05
