epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3644.57,1.05677,1.97925,1.23463,0.42605,0.3643,0.33505,0.23593,1.06629,1.70529,1.10544,0.000302857,0.000302857,0.000302857
2,7066.84,1.07515,1.70918,1.21296,0.42986,0.35143,0.34337,0.23751,1.10495,1.66591,1.11738,0.000585864,0.000585864,0.000585864
3,10459.3,1.08611,1.66566,1.22098,0.46882,0.36667,0.36868,0.26264,1.10132,1.5765,1.12231,0.000848873,0.000848873,0.000848873
4,13843.5,1.07746,1.61949,1.21087,0.49162,0.39,0.40996,0.29592,1.04615,1.49476,1.09075,0.000819009,0.000819009,0.000819009
5,17253.1,1.05473,1.56171,1.19896,0.49581,0.41555,0.42479,0.30518,1.05344,1.47123,1.09163,0.000789012,0.000789012,0.000789012
6,20653.4,1.03923,1.4985,1.19047,0.67394,0.39415,0.44099,0.31836,1.02436,1.40293,1.0758,0.000759015,0.000759015,0.000759015
7,24048.3,1.02434,1.45522,1.18094,0.70697,0.40771,0.46331,0.33612,1.01392,1.34981,1.05704,0.000729018,0.000729018,0.000729018
8,27450.1,1.01336,1.41486,1.17318,0.53445,0.4417,0.46692,0.34165,1.005,1.32893,1.06127,0.000699021,0.000699021,0.000699021
9,30841.4,1.00212,1.38502,1.17313,0.71942,0.41345,0.47631,0.35161,0.99538,1.28305,1.04985,0.000669024,0.000669024,0.000669024
10,34229.6,0.99451,1.35245,1.16403,0.74862,0.40479,0.48635,0.35952,0.97029,1.25911,1.03117,0.000639027,0.000639027,0.000639027
11,37561.3,0.97786,1.31238,1.15143,0.73882,0.41802,0.49153,0.36193,0.97744,1.25679,1.03256,0.00060903,0.00060903,0.00060903
12,40801.6,0.96592,1.27745,1.14721,0.6541,0.44917,0.5089,0.37596,0.96352,1.19086,1.03161,0.000579033,0.000579033,0.000579033
13,44071.3,0.95582,1.24386,1.14121,0.59309,0.43127,0.50462,0.3728,0.95483,1.20668,1.02032,0.000549036,0.000549036,0.000549036
14,47351.1,0.94346,1.21601,1.13584,0.76095,0.44786,0.52284,0.39076,0.94637,1.14859,1.01907,0.000519039,0.000519039,0.000519039
15,50614.3,0.93179,1.19974,1.13311,0.777,0.44336,0.52621,0.39392,0.9397,1.14239,1.01662,0.000489042,0.000489042,0.000489042
16,53874.6,0.92594,1.17103,1.12992,0.786,0.44928,0.5293,0.39902,0.92552,1.12158,1.01372,0.000459045,0.000459045,0.000459045
17,57135.5,0.91523,1.14074,1.12149,0.78509,0.44547,0.53347,0.40468,0.91925,1.09594,1.0079,0.000429048,0.000429048,0.000429048
18,60401.5,0.91036,1.12286,1.11854,0.79379,0.4484,0.53799,0.4066,0.91796,1.0975,1.0035,0.000399051,0.000399051,0.000399051
19,63679.3,0.9084,1.10629,1.11202,0.78568,0.45982,0.5403,0.41202,0.90897,1.08504,0.99435,0.000369054,0.000369054,0.000369054
20,66993.3,0.89303,1.07822,1.10784,0.8084,0.46039,0.55122,0.41946,0.90521,1.06259,0.99629,0.000339057,0.000339057,0.000339057
21,70262.3,0.85395,0.98624,1.07047,0.80489,0.4635,0.54971,0.41802,0.90229,1.06059,0.99458,0.00030906,0.00030906,0.00030906
22,73520,0.84219,0.94303,1.06128,0.80272,0.47028,0.55201,0.4207,0.89757,1.04683,0.99218,0.000279063,0.000279063,0.000279063
23,77028,0.83324,0.91885,1.05445,0.82292,0.46197,0.55907,0.42576,0.89175,1.0267,0.98836,0.000249066,0.000249066,0.000249066
24,81153.6,0.81396,0.88978,1.04389,0.80627,0.47457,0.56326,0.42967,0.89096,1.023,0.98638,0.000219069,0.000219069,0.000219069
25,84261.2,0.8125,0.86884,1.03999,0.80229,0.4883,0.56734,0.43355,0.88353,1.00996,0.98375,0.000189072,0.000189072,0.000189072
26,87675.2,0.80082,0.84331,1.03571,0.81896,0.4762,0.56984,0.43532,0.88326,0.99774,0.98257,0.000159075,0.000159075,0.000159075
27,91578.9,0.78915,0.82156,1.03137,0.73219,0.49116,0.5726,0.43851,0.88008,0.98957,0.98406,0.000129078,0.000129078,0.000129078
28,95422.4,0.78663,0.79866,1.02689,0.66219,0.49237,0.57384,0.43835,0.87322,0.98626,0.97816,9.9081e-05,9.9081e-05,9.9081e-05
29,99327,0.77784,0.77993,1.02501,0.68888,0.49829,0.57717,0.44176,0.87097,0.97932,0.97722,6.9084e-05,6.9084e-05,6.9084e-05
30,103247,0.77322,0.76554,1.0227,0.66914,0.49393,0.57898,0.44333,0.86919,0.97044,0.97738,3.9087e-05,3.9087e-05,3.9087e-05
