epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2417.63,1.19614,1.86375,1.25947,0.41724,0.31682,0.30783,0.20218,1.20549,1.42998,1.12649,0.000302711,0.000302711,0.000302711
2,5141.75,1.20217,1.52431,1.23614,0.40267,0.32686,0.32402,0.21264,1.18007,1.36297,1.14275,0.000585722,0.000585722,0.000585722
3,8274.7,1.21675,1.49727,1.24153,0.4269,0.32539,0.32393,0.2095,1.19801,1.39733,1.15356,0.000848736,0.000848736,0.000848736
4,10859.1,1.20801,1.46109,1.23312,0.38559,0.36352,0.32865,0.2133,1.18828,1.33736,1.13672,0.000819009,0.000819009,0.000819009
5,13638.9,1.22233,1.42504,1.23696,0.41198,0.35404,0.33542,0.22317,1.17562,1.32636,1.1372,0.000789012,0.000789012,0.000789012
6,16179.1,1.19273,1.35859,1.21916,0.4095,0.36726,0.35098,0.23374,1.18775,1.25765,1.14077,0.000759015,0.000759015,0.000759015
7,18503.2,1.18358,1.32114,1.21926,0.43327,0.35356,0.36269,0.23803,1.19845,1.29826,1.13494,0.000729018,0.000729018,0.000729018
8,20618.3,1.18202,1.31896,1.21358,0.46551,0.36398,0.37671,0.25517,1.15242,1.19221,1.11323,0.000699021,0.000699021,0.000699021
9,23156.1,1.17113,1.27943,1.21056,0.4761,0.36389,0.37129,0.24824,1.1716,1.26327,1.11796,0.000669024,0.000669024,0.000669024
10,25565.6,1.15042,1.22821,1.19724,0.43825,0.3673,0.35856,0.24082,1.12272,1.24125,1.11607,0.000639027,0.000639027,0.000639027
11,28130,1.14364,1.21363,1.19493,0.46896,0.38879,0.39732,0.26824,1.1386,1.1274,1.10162,0.00060903,0.00060903,0.00060903
12,30933.7,1.13296,1.1865,1.18937,0.48401,0.37877,0.39557,0.26298,1.17299,1.16132,1.11611,0.000579033,0.000579033,0.000579033
13,32937.4,1.11771,1.1629,1.17955,0.47001,0.39225,0.4019,0.26836,1.1496,1.14649,1.09605,0.000549036,0.000549036,0.000549036
14,62071.1,1.10201,1.15515,1.181,0.46864,0.39548,0.39992,0.27305,1.11987,1.12428,1.0943,0.000519039,0.000519039,0.000519039
15,63698.7,1.10268,1.11327,1.16883,0.45833,0.41651,0.40987,0.28292,1.08502,1.08678,1.0704,0.000489042,0.000489042,0.000489042
16,65338.1,1.10209,1.10681,1.16716,0.4807,0.39137,0.41174,0.28288,1.09607,1.09506,1.08152,0.000459045,0.000459045,0.000459045
17,66983.3,1.09682,1.07181,1.16517,0.49207,0.40238,0.42091,0.2905,1.08696,1.05982,1.07466,0.000429048,0.000429048,0.000429048
18,68648.5,1.07445,1.05309,1.15761,0.48768,0.40272,0.41247,0.28102,1.10585,1.07191,1.08557,0.000399051,0.000399051,0.000399051
19,70309.6,1.07768,1.03227,1.15634,0.50546,0.40496,0.42885,0.29471,1.09727,1.03751,1.08403,0.000369054,0.000369054,0.000369054
20,71980.2,1.07059,1.01893,1.15364,0.50138,0.41382,0.42941,0.2988,1.08301,1.0229,1.07236,0.000339057,0.000339057,0.000339057
21,73655.2,1.02845,0.96818,1.13508,0.47416,0.4066,0.42149,0.2882,1.10974,1.06188,1.07769,0.00030906,0.00030906,0.00030906
22,75330,1.01724,0.92285,1.1276,0.49872,0.41845,0.42724,0.29295,1.08231,1.04044,1.07558,0.000279063,0.000279063,0.000279063
23,76996,1.00481,0.90931,1.12211,0.51881,0.41321,0.43757,0.30114,1.08622,1.02607,1.07067,0.000249066,0.000249066,0.000249066
24,78664.7,0.99861,0.87939,1.11143,0.52133,0.41365,0.43352,0.30115,1.07531,1.01445,1.06517,0.000219069,0.000219069,0.000219069
25,80330.2,0.9903,0.8697,1.11,0.50113,0.4356,0.43583,0.3034,1.073,1.02036,1.06676,0.000189072,0.000189072,0.000189072
26,82033.6,0.9916,0.8503,1.10833,0.53437,0.41878,0.43878,0.307,1.06374,0.99823,1.06199,0.000159075,0.000159075,0.000159075
27,83751.2,0.98037,0.81278,1.10275,0.52715,0.43443,0.44461,0.30823,1.08023,0.99015,1.06653,0.000129078,0.000129078,0.000129078
28,85424.4,0.97415,0.80886,1.09893,0.52242,0.43839,0.4481,0.31144,1.07075,0.98829,1.06077,9.9081e-05,9.9081e-05,9.9081e-05
29,87088.9,0.9511,0.78497,1.08491,0.50396,0.45138,0.44889,0.31089,1.07291,0.98303,1.06218,6.9084e-05,6.9084e-05,6.9084e-05
30,88757.8,0.95048,0.77352,1.08768,0.54196,0.4294,0.45068,0.3113,1.07981,0.97486,1.06195,3.9087e-05,3.9087e-05,3.9087e-05
